구분,상품번호,상품명,마케팅 링크
스마트스토어,11843704872,우즈베키스탄 카자흐스탄 이심 eSIM 오렌지 15일 10GB e심,https://mkt.shopping.naver.com/link/68e86e5c772f4564fe843a54
스마트스토어,11830359591,아프리카 모로코 이집트 유심 오렌지 15일 10GB 튀니지 탄자니아 유심칩,https://mkt.shopping.naver.com/link/68e86e5c75ee9f3ae68963dd
스마트스토어,11830410180,아프리카 모로코 이집트 이심 eSIM 오렌지 15일 10GB 튀니지 탄자니아 e심,https://mkt.shopping.naver.com/link/68e86e5c5d8b481c3259c87f
스마트스토어,12310405784,싱가포르/말레이시아/태국 이심 eSIM 싱텔 5G 5일 매일 1GB 무제한 e심 핫스팟,https://mkt.shopping.naver.com/link/68e86e5b80d9a330e6514b94
스마트스토어,11923734467,유럽이심 eSIM 70개국 통합 영국 보다폰쓰리심 30일 6GB 동유럽 e심,https://mkt.shopping.naver.com/link/68e86e5b772f4564fe843a53
스마트스토어,11975133882,괌이심 로타 티니안 사이판 eSIM 도코모퍼시픽 1일 1GB 무제한 e심,https://mkt.shopping.naver.com/link/68e86e5b75ee9f3ae68963dc
스마트스토어,11843740662,러시아이심 eSIM 오렌지 15일 10GB e심,https://mkt.shopping.naver.com/link/68e86e5b5d8b481c3259c87e
스마트스토어,11847575167,발칸 동유럽이심 eSIM 오렌지 15일 10GB 몬테네그로 알바니아 벨라루스 9개국,https://mkt.shopping.naver.com/link/68e86e5b5d8b481c3259c87d
스마트스토어,11847436843,사우디 두바이 이심 eSIM 오렌지 15일 10GB 이집트 터키 요르단 중동 14개국,https://mkt.shopping.naver.com/link/686b68701a9ed979e2cbdea3
스마트스토어,6683264907,싱가포르유심 싱텔 5G 매일 1GB 무제한 3일 핫스팟,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51e
스마트스토어,7445605267,유럽유심 오렌지 5G 10일 10GB 프랑스 독일 동유럽 영국 유심칩,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51d
스마트스토어,8231179790,미국이심 eSIM 하와이 뉴욕 티모바일 5G 데이터 통화 무제한 1일 e심,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51b
스마트스토어,8783628348,미국유심 티모바일 5G 데이터 통화 문자 무제한 2개월 장기체류용 유심칩,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51a
스마트스토어,429588316,태국유심 치앙마이 푸켓 방콕 TRUE 감속없는 5G 무제한 7일 유심칩,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c5c
스마트스토어,2172109605,일본유심 5G 후쿠오카 도쿄 오사카 KDDI 1일 1GB 무제한 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c5b
스마트스토어,3994631054,말레이시아 코타키나발루 유심 Maxis 매일3GB 2일 쿠알라룸푸르 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c5a
스마트스토어,6795466414,캐나다유심 토론토 밴쿠버 장기여행용 Telus 개통용 유심칩,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c59
스마트스토어,7896029269,인도네시아 발리이심 eSIM 텔콤셀 5G 1일 1GB 무제한 자카르타 e심,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c56
스마트스토어,8468318735,한국이심 eSIM LTE 무제한 데이터 1일 LG유플러스 e심,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c55
스마트스토어,9255265679,캐나다이심 eSIM 밴쿠버 토론토 텔러스 30일 통화무제한 e심,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c53
스마트스토어,8889217536,터키이심 eSIM 투르크셀 5G 5GB 무제한 2일 이스탄불 튀르키예 e심,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c52
스마트스토어,9271010298,라오스유심 유니텔 5일 10GB 통화 비엔티안 루앙프라방 방비엥 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c51
스마트스토어,10422170729,중국이심 eSIM 상하이 차이나모바일 5G 1일 1GB 무제한 VPN 필요없는 e심,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c4f
스마트스토어,2432766077,베트남유심 모비폰 15GB 5일 나트랑 푸꾸옥 다낭 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1b84505306af861ad
스마트스토어,4505388849,몽골유심 5일 8GB 통화문자무제한 유니텔 울란바토르,https://mkt.shopping.naver.com/link/681b14a1b84505306af861ac
스마트스토어,9979267848,일본유심 로컬망 소프트뱅크 5G 3일 매일 1GB 무제한 오사카 후쿠오카 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1b84505306af861aa
스마트스토어,2104803084,인도네시아 발리 유심 매일 1GB 3일 무제한 자카르타 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c53
스마트스토어,2721848925,대만유심 중화텔레콤 5G 무제한 3일 가오슝 타이베이 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c52
스마트스토어,3736060173,일본유심 오사카 후쿠오카 소프트뱅크 5G 매일 3GB 2일 무제한 유심칩,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c51
스마트스토어,6942238534,영국유심 런던 보다폰 5G 7GB 30일 통화문자 무제한 장기유심칩,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c50
스마트스토어,8057854601,중국이심 eSIM 차이나모바일 5G 1일 1GB 무제한 VPN 필요없는 홍콩 마카오 e심,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c4f
스마트스토어,9284910310,호주이심 eSIM 5일 매일500MB 무제한 OPTUS 브리즈번 시드니 e심,https://mkt.shopping.naver.com/link/681b14a1ab37d36252432c4e
스마트스토어,3063080859,중국유심 차이나모바일 5G 1일 1GB VPN 필요없는 상하이 홍콩 마카오 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d232
스마트스토어,440031049,유럽유심 무비스타 5G 27일 7GB 유럽통합 쓰리심 스페인 포르투갈 이탈리아 보다폰,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d231
스마트스토어,5312115330,미국유심 하와이 뉴욕 AT&T 5G 1GB 30일 데이터전용 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d230
스마트스토어,7794017882,캐나다유심 KOODO 30일 50GB 통화무제한 국제전화 토론토 밴쿠버 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d22f
스마트스토어,7837116898,대만이심 eSIM 가오슝 타이베이 e심 5G Chunghwa 3일 무제한 핫스팟,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d22e
스마트스토어,8057949823,인도이심 eSIM LTE 3GB 3일 무제한 Airtel 델리 뭄바이 e심,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d22d
스마트스토어,8063177885,베트남이심 eSIM 비나폰 5일 데이터무제한 다낭 푸꾸옥 나트랑 e심 핫스팟,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d22c
스마트스토어,11252868260,중국유럽이심 5G 매일 1GB 7일 중국 유럽 통합 스페인 프랑스 이탈리아 eSIM,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d229
스마트스토어,11013017209,미국이심 eSIM 티모바일 5G 데이터통화문자 무제한 3개월 기간연장 가능,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d228
스마트스토어,11544927674,카자흐스탄이심 TRUE 10일 6GB 우즈베키스탄 키르기스스탄 eSIM,https://mkt.shopping.naver.com/link/681b14a1815d2663a462d227
스마트스토어,2107087428,아시아유심 10일 6GB 두바이 아부다비 카타르 사우디 이스라엘 인도,https://mkt.shopping.naver.com/link/681b14a1814c2c37cfffe459
스마트스토어,8058349983,태국이심 eSIM DTAC 10일 감속없는 5G 무제한 치앙마이 푸켓 방콕 e심,https://mkt.shopping.naver.com/link/681b14a1814c2c37cfffe457
스마트스토어,11252902965,한국이심 eSIM SKT 5G 매일 1GB 1일 e심,https://mkt.shopping.naver.com/link/681b14a1814c2c37cfffe456
스마트스토어,11586133075,카타르이심 중동 TRUE 10일 6GB 사우디 쿠웨이트 요르단 eSIM,https://mkt.shopping.naver.com/link/681b14a1814c2c37cfffe455
스마트스토어,656288515,호주유심 5G 10일 6GB Optus 시드니 오클랜드,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab9
스마트스토어,5290555230,남미유심 LTE 10GB 30일 Three UK 브라질 칠레 페루 아르헨티나 유심칩,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab8
스마트스토어,7895110502,라오스이심 eSIM 유니텔 5G 5일 10GB 통화 10분 비엔티안 방비엥 e심,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab6
스마트스토어,8057932596,홍콩이심 eSIM CMHK 5G 1일 데이터무제한 e심,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab4
스마트스토어,8058011517,몽골이심 eSIM 유니텔 5일 8GB 통화 문자 무제한 울란바토르 테를지 e심,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab3
스마트스토어,8320581921,유럽이심 eSIM 오렌지 10일 10GB 프랑스 스페인 이탈리아 46개국 e심,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab2
스마트스토어,9254158055,싱가포르이심 eSIM 싱텔 5G 1일 1GB 무제한 e심,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2ab1
스마트스토어,11252904412,한국유심 5G SKT 매일1GB 1일 유심칩구매,https://mkt.shopping.naver.com/link/681b14a162fffc0a4a4a2aaf
스마트스토어,484849576,미국유심 하와이 뉴욕 티모바일 5G 데이터 통화 무제한 1일 유심칩,https://mkt.shopping.naver.com/link/681b14a146ee00714bd1505b
스마트스토어,4537738509,터키유심 투르크셀 5G 3GB 무제한 4일 이스탄불 튀르키예 유심칩구매,https://mkt.shopping.naver.com/link/681b14a146ee00714bd1505a
스마트스토어,7757217952,일본이심 eSIM KDDI 5G 1일 1GB 무제한 후쿠오카 오사카 e심,https://mkt.shopping.naver.com/link/681b14a146ee00714bd15059
스마트스토어,7837242650,미국 캐나다 이심 eSIM AT&T 매일 500MB 7일 무제한 e심,https://mkt.shopping.naver.com/link/681b14a146ee00714bd15058
스마트스토어,7895583642,말레이시아이심 eSIM Maxis 5G 1일 1GB 무제한 쿠알라룸푸르 코타키나발루 e심,https://mkt.shopping.naver.com/link/681b14a146ee00714bd15057
스마트스토어,11171589836,일본이심 eSIM 소프트뱅크 5G 로컬망 4일 매일 1GB 무제한 후쿠오카 도쿄 e심,https://mkt.shopping.naver.com/link/681b14a146ee00714bd15054
스마트스토어,2517022328,필리핀유심 Globe 5G 4일 3GB 세부 보홀 보라카이 유심칩구매,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c539
스마트스토어,3195587261,홍콩 마카오 유심 CMI 5G 1일 1GB 무제한 실명등록없는 유심칩구매,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c538
스마트스토어,5195320242,미국유심 5G 50GB 무제한 30일 티모바일 뉴욕 하와이,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c537
스마트스토어,8057870523,조지아이심 eSIM 오렌지 8일 5GB 아르메니아 e심,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c536
스마트스토어,8701437215,필리핀이심 eSIM 5G 3GB 3일 글로브 세부 보홀 보라카이 e심,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c534
스마트스토어,11586144046,이스라엘이심 eSIM TRUE 10일 5G 6GB e심,https://mkt.shopping.naver.com/link/681b14a12f0ac5782176c532
스마트스토어,11586145085,네팔이심 eSIM TRUE 10일 6GB 부탄 e심,https://mkt.shopping.naver.com/link/681b14a0fd7d167e0feaa519
스마트스토어,11663760807,괌유심 사이판 티니안 로타 도코모퍼시픽 데이터 500MB 무제한 1일 유심칩,https://mkt.shopping.naver.com/link/681b14a0fd7d167e0feaa518
스마트스토어,11586147901,방글라데시이심 eSIM TRUE 10일 6GB e심,https://mkt.shopping.naver.com/link/681b14a0efd7a65d55475c4d
스마트스토어,11563068354,아랍에미리트 두바이이심 eSIM DU 5G 매일 1GB 1일 UAE 아부다비 e심,https://mkt.shopping.naver.com/link/681b14a0efd7a65d55475c4c
스마트스토어,11618807298,미국 캐나다이심 eSIM 멕시코 티모바일 5G 데이터 통화 무제한 1일 e심,https://mkt.shopping.naver.com/link/681b14a0efd7a65d55475c4b
스마트스토어,11586151201,스리랑카이심 eSIM TRUE 10일 6GB e심,https://mkt.shopping.naver.com/link/681b14a0b84505306af861a9
스마트스토어,11599801756,브루나이이심 eSIM TRUE 10일 6GB e심,https://mkt.shopping.naver.com/link/681b14a0b84505306af861a8
스마트스토어,11264684502,중국이심 eSIM 차이나모바일 5G 무제한 1일 VPN 상하이 e심,https://mkt.shopping.naver.com/link/681b14a062fffc0a4a4a2aae
스마트스토어,11644820811,미국이심 eSIM 하와이 뉴욕 AT&T 1일 500MB 무제한 e심,https://mkt.shopping.naver.com/link/681b14a062fffc0a4a4a2aad
스마트스토어,11586150168,중남미 e심 TRUE 15일 6GB 콜롬비아 멕시코 아르헨티나 브라질 이심 eSIM,https://mkt.shopping.naver.com/link/681b14a046ee00714bd15053
스마트스토어,11774778757,미국캐나다유심 티모바일 통화무제한 1일 토론토 밴쿠버 멕시코 칸쿤 유심칩구매,https://mkt.shopping.naver.com/link/681b14a046ee00714bd15052
스마트스토어,11586264723,필리핀이심 eSIM 스마트 5G 1일 1GB 보홀 보라카이 세부 e심,https://mkt.shopping.naver.com/link/681b14a046ee00714bd15051
스마트스토어,11586140086,파키스탄이심 eSIM TRUE 15일 6GB e심,https://mkt.shopping.naver.com/link/681b14a02f0ac5782176c531